oid,odate,ostatus,uid
O000001,2021-08-29 20:25:25,PAID,C000001
O000002,2021-08-29 20:25:25,PENDING,A000004
O000003,2021-08-29 20:25:25,PENDING,C000001
O000004,2021-08-29 20:25:25,PENDING,C000006
O000005,2021-08-29 20:25:25,PENDING,C000005
O000006,2021-08-29 21:08:17,PENDING,C000003
O000007,2021-08-30 22:32:30,PENDING,C000007
O000008,2021-08-30 23:07:33,PENDING,A000002
O000009,2021-08-31 00:59:48,PENDING,C000008
O000010,2021-08-31 01:12:39,PENDING,C000009
O000011,2021-08-31 01:49:42,PENDING,C000010
O000012,2021-08-31 01:50:09,PENDING,C000011
