oid,pid,qty
O000001,P000001,1
O000001,P000002,13
O000002,P000001,20
O000003,P000007,3
O000003,P000005,15
O000004,P000002,20
O000004,P000003,20
O000002,P000001,20
O000007,P000001,1
O000008,P000001,1
O000009,P000008,5
O000010,P000008,1
O000010,P000001,1
O000011,P000001,1
O000012,P000001,1
O000012,P000002,1
O000012,P000003,1
O000013,P000007,1
O000013,P000009,1
O000013,P000011,2
O000014,P000008,20
O000014,P000010,7
O000014,P000003,3
O000014,P000007,6
O000015,P000001,1
O000016,P000001,1
O000017,P000009,1
O000018,P000008,1
O000019,P000003,1
O000020,P000005,8
O000021,P000003,1
